Unit:(mV)
                     CH1         CH2
Frequency              ?   2.567 kHz
Period                 ?  389.560 us
00937               0.00     1920.00
00938             400.00     1360.00
00939             400.00     2080.00
00940             400.00     1200.00
00941             400.00     2000.00
00942             400.00     1280.00
00943               0.00     2080.00
00944             400.00     1280.00
00945             400.00     1920.00
00946             400.00     1680.00
00947             400.00     1600.00
00948             400.00     1920.00
00949             400.00     1600.00
00950             400.00     1680.00
00951               0.00     2000.00
00952               0.00     1440.00
00953             400.00     1600.00
00954               0.00     2000.00
00955               0.00     1360.00
00956             400.00     1680.00
00957             400.00     1920.00
00958             400.00     1360.00
00959             400.00     1840.00
00960             400.00     1920.00
00961             400.00     1360.00
00962             400.00     2000.00
00963               0.00     1680.00
00964               0.00     1280.00
00965               0.00     2080.00
00966             400.00     1360.00
00967             400.00     1440.00
00968             400.00     2160.00
00969             400.00     1360.00
00970             400.00     1760.00
00971             400.00     2080.00
00972             400.00     1360.00
00973             400.00     1760.00
00974             400.00     1840.00
00975               0.00     1200.00
00976               0.00     2080.00
00977               0.00     1840.00
00978             400.00     1120.00
00979             400.00     2240.00
00980             400.00     1440.00
00981               0.00     1280.00
00982               0.00     1840.00
00983             400.00     1680.00
00984             400.00     1920.00
00985               0.00     1280.00
00986             400.00     2160.00
00987               0.00     1280.00
00988             400.00     2240.00
00989             400.00     1200.00
00990               0.00     1840.00
00991               0.00     1440.00
00992             400.00     1920.00
00993               0.00     1680.00
00994             400.00     1440.00
00995             400.00     1840.00
00996             400.00     1600.00
00997               0.00     2000.00
00998             400.00     1280.00
00999             400.00     1680.00
01000             400.00     1200.00
01001               0.00     2160.00
01002             400.00     1360.00
01003             400.00     1920.00
01004             800.00     1360.00
01005             400.00     1680.00
01006             400.00     1360.00
01007               0.00     2000.00
01008             400.00     1680.00
01009             400.00     2000.00
01010             400.00     1440.00
01011               0.00     1920.00
01012             400.00     1440.00
01013             400.00     2000.00
01014             400.00     1760.00
01015             400.00     1920.00
01016             400.00     1600.00
01017               0.00     1760.00
01018             400.00     1760.00
01019             400.00     1440.00
01020             400.00     1760.00
01021             400.00     1840.00
01022             400.00     1440.00
01023             400.00     1760.00
01024               0.00     1760.00
01025               0.00     1440.00
01026             400.00     1920.00
01027             400.00     1760.00
01028             400.00     1440.00
01029             400.00     2000.00
01030             400.00     1600.00
01031             400.00     1360.00
01032             400.00     2080.00
01033             400.00     1360.00
01034               0.00     1600.00
01035             400.00     2160.00
01036             400.00     1280.00
01037             400.00     1920.00
01038             400.00     2000.00
01039             400.00     1600.00
01040             400.00     2000.00
01041             400.00     1440.00
01042             400.00     1120.00
01043             400.00     2240.00
01044             400.00     1680.00
01045               0.00     1120.00
01046             400.00     2320.00
01047             400.00     1200.00
01048               0.00     1680.00
01049               0.00     2320.00
01050             400.00     1040.00
01051             400.00     2240.00
01052               0.00     1440.00
01053               0.00     1760.00
01054             400.00     1680.00
01055             400.00     1600.00
01056             400.00     2080.00
01057             400.00     1680.00
01058               0.00     2240.00
01059             400.00     1440.00
01060               0.00     2240.00
01061             400.00     1120.00
01062             400.00     2240.00
01063             400.00     1680.00
01064             400.00     2240.00
01065               0.00     1280.00
01066             400.00     1760.00
01067               0.00     1280.00
01068             400.00     2160.00
01069               0.00     1120.00
01070             400.00     2080.00
01071               0.00     1360.00
01072             800.00     1680.00
01073               0.00     1600.00
01074             400.00     1760.00
01075             400.00     1680.00
01076             400.00     1520.00
01077             400.00     2000.00
01078             400.00     1360.00
01079             400.00     2000.00
01080               0.00     1440.00
01081             400.00     1680.00
01082             400.00     1520.00
01083             400.00     1840.00
01084             400.00     1680.00
01085             400.00     1760.00
01086               0.00     1680.00
01087             400.00     1760.00
01088             400.00     1680.00
01089             400.00     1600.00
01090               0.00     1680.00
01091             400.00     1600.00
01092             400.00     1760.00
01093             400.00     1840.00
01094             400.00     1440.00
01095             400.00     2000.00
01096             400.00     1600.00
01097             400.00     1360.00
01098               0.00     2000.00
01099               0.00     1360.00
01100             400.00     2160.00
01101             800.00     1360.00
01102             800.00     1920.00
01103               0.00     2000.00
01104             400.00     1200.00
01105             400.00     2080.00
01106             400.00     1680.00
01107             400.00     1120.00
01108               0.00     2320.00
01109             400.00     1360.00
01110               0.00     1440.00
01111             400.00     2400.00
01112               0.00     1280.00
01113             400.00     2080.00
01114             400.00     2160.00
01115             400.00     1680.00
01116             400.00     1920.00
01117               0.00     1440.00
01118             400.00     1040.00
01119               0.00     2320.00
01120             400.00     1520.00
01121               0.00     1600.00
01122             400.00     1920.00
01123               0.00     1040.00
01124             400.00     1760.00
01125               0.00      960.00
01126             400.00     2320.00
01127             400.00      960.00
01128             400.00     2320.00
01129             800.00     1040.00
01130               0.00     1680.00
01131             400.00     1360.00
01132               0.00     2240.00
01133             400.00     1680.00
01134             400.00     1680.00
01135             400.00     2240.00
01136               0.00     1360.00
01137               0.00     2080.00
