Automatisierter Messplatz

Name Testperson: Testperson
Datum: 12.02.2026 09:20:31
Prüfling: M18TLUT
Bemerkungen: 100;200;300;400;500;Keine
Pfad und Dateiname: C:\Messwerte Temperaturgang\Logfile Tempgang - M18TLUT.txt
Haltezeit / Zusätzliche Erstverweilzeit in min: 20 / 0

	Read Temp[°C]	Set Temp[°C]	Messreihe[-]	Sensor#[-]	Sn[mm]		Voffset,mean	Vdem,mean	VNTC,mean	VLC comp,mean	FW version

	10,100000	10,000000	1,000000	5,000000	8,000000	2135,000000	3357,000000	2404,000000	1222,000000	1.0.00
	15,000000	15,000000	1,000000	1,000000	24,000000	2121,000000	3345,000000	2160,000000	1224,000000	1.0.00
	15,000000	15,000000	1,000000	1,000000	8,800000	2121,000000	3319,000000	2160,000000	1198,000000	1.0.00
	15,000000	15,000000	1,000000	1,000000	8,000000	2121,000000	3308,000000	2159,000000	1187,000000	1.0.00
	15,000000	15,000000	1,000000	2,000000	24,000000	2113,000000	3339,000000	2158,000000	1226,000000	1.0.00
	15,000000	15,000000	1,000000	2,000000	8,800000	2113,000000	3310,000000	2158,000000	1197,000000	1.0.00
	15,000000	15,000000	1,000000	2,000000	8,000000	2113,000000	3296,000000	2157,000000	1183,000000	1.0.00
	15,000000	15,000000	1,000000	3,000000	24,000000	2118,000000	3350,000000	2159,000000	1232,000000	1.0.00
	15,000000	15,000000	1,000000	3,000000	8,800000	2119,000000	3320,000000	2159,000000	1201,000000	1.0.00
	15,000000	15,000000	1,000000	3,000000	8,000000	2119,000000	3307,000000	2159,000000	1188,000000	1.0.00
	15,000000	15,000000	1,000000	4,000000	24,000000	2127,000000	3356,000000	2169,000000	1228,000000	1.0.00
	15,000000	15,000000	1,000000	4,000000	8,800000	2127,000000	3324,000000	2169,000000	1197,000000	1.0.00
	15,000000	15,000000	1,000000	4,000000	8,000000	2127,000000	3310,000000	2168,000000	1183,000000	1.0.00
	15,000000	15,000000	1,000000	5,000000	24,000000	2121,000000	3358,000000	2167,000000	1237,000000	1.0.00
	15,000000	15,000000	1,000000	5,000000	8,800000	2121,000000	3347,000000	2167,000000	1226,000000	1.0.00
	15,000000	15,000000	1,000000	5,000000	8,000000	2121,000000	3343,000000	2167,000000	1222,000000	1.0.00
	20,000000	20,000000	1,000000	1,000000	24,000000	2108,000000	3331,000000	1924,000000	1223,000000	1.0.00
	20,000000	20,000000	1,000000	1,000000	8,800000	2108,000000	3305,000000	1924,000000	1197,000000	1.0.00
	20,000000	20,000000	1,000000	1,000000	8,000000	2108,000000	3294,000000	1924,000000	1186,000000	1.0.00
	20,000000	20,000000	1,000000	2,000000	24,000000	2099,000000	3325,000000	1923,000000	1226,000000	1.0.00
	20,000000	20,000000	1,000000	2,000000	8,800000	2099,000000	3295,000000	1923,000000	1196,000000	1.0.00
	20,000000	20,000000	1,000000	2,000000	8,000000	2099,000000	3281,000000	1923,000000	1182,000000	1.0.00
	20,000000	20,000000	1,000000	3,000000	24,000000	2105,000000	3336,000000	1925,000000	1231,000000	1.0.00
	20,000000	20,000000	1,000000	3,000000	8,800000	2105,000000	3305,000000	1925,000000	1200,000000	1.0.00
	20,000000	20,000000	1,000000	3,000000	8,000000	2105,000000	3292,000000	1925,000000	1186,000000	1.0.00
	20,000000	20,000000	1,000000	4,000000	24,000000	2113,000000	3341,000000	1935,000000	1228,000000	1.0.00
	20,000000	20,000000	1,000000	4,000000	8,800000	2114,000000	3310,000000	1934,000000	1196,000000	1.0.00
	20,000000	20,000000	1,000000	4,000000	8,000000	2113,000000	3296,000000	1934,000000	1182,000000	1.0.00
	20,000000	20,000000	1,000000	5,000000	24,000000	2107,000000	3343,000000	1932,000000	1236,000000	1.0.00
	20,000000	20,000000	1,000000	5,000000	8,800000	2107,000000	3332,000000	1932,000000	1225,000000	1.0.00
	20,000000	20,000000	1,000000	5,000000	8,000000	2108,000000	3328,000000	1932,000000	1220,000000	1.0.00
	25,100000	25,000000	1,000000	1,000000	24,000000	2094,000000	3316,000000	1698,000000	1222,000000	1.0.00
	25,100000	25,000000	1,000000	1,000000	8,800000	2094,000000	3291,000000	1698,000000	1197,000000	1.0.00
	25,100000	25,000000	1,000000	1,000000	8,000000	2094,000000	3279,000000	1698,000000	1185,000000	1.0.00
	25,000000	25,000000	1,000000	2,000000	24,000000	2085,000000	3310,000000	1698,000000	1225,000000	1.0.00
	25,000000	25,000000	1,000000	2,000000	8,800000	2086,000000	3280,000000	1698,000000	1195,000000	1.0.00
	25,000000	25,000000	1,000000	2,000000	8,000000	2085,000000	3268,000000	1697,000000	1182,000000	1.0.00
	25,000000	25,000000	1,000000	3,000000	24,000000	2091,000000	3320,000000	1700,000000	1229,000000	1.0.00
	25,000000	25,000000	1,000000	3,000000	8,800000	2092,000000	3290,000000	1700,000000	1198,000000	1.0.00
	25,000000	25,000000	1,000000	3,000000	8,000000	2092,000000	3277,000000	1699,000000	1185,000000	1.0.00
	25,000000	25,000000	1,000000	4,000000	24,000000	2100,000000	3326,000000	1708,000000	1226,000000	1.0.00
	25,000000	25,000000	1,000000	4,000000	8,800000	2100,000000	3296,000000	1708,000000	1196,000000	1.0.00
