Unit:(mV)
                     CH1         CH2
Frequency    362.318 kHz           ?
Period          2.760 us           ?
00690            3280.00     3360.00
00691            3280.00     3360.00
00692             800.00      -80.00
00693              80.00       80.00
00694              80.00        0.00
00695            3280.00     3360.00
00696            3360.00     3360.00
00697            3280.00     3360.00
00698              80.00       80.00
00699              80.00       80.00
00700              80.00     3280.00
00701            3280.00     3360.00
00702            3280.00     3360.00
00703            3360.00       80.00
00704              80.00       80.00
00705              80.00       80.00
00706               0.00     3360.00
00707            3280.00     3440.00
00708            3280.00     3360.00
00709            3280.00      -80.00
00710              80.00       80.00
00711              80.00     3440.00
00712               0.00     3360.00
00713              80.00     3360.00
00714              80.00     3360.00
00715              80.00     3440.00
00716              80.00       80.00
00717            3280.00     3360.00
00718            3280.00     3360.00
00719            3280.00     3360.00
00720              80.00       80.00
00721              80.00       80.00
00722              80.00     3360.00
00723            3280.00     3360.00
00724            3280.00     3360.00
00725            3280.00       80.00
00726               0.00       80.00
00727              80.00       80.00
00728              80.00     3360.00
00729            3280.00     3360.00
00730            3280.00     3360.00
00731            3360.00        0.00
00732              80.00       80.00
00733              80.00       80.00
00734            3280.00     3360.00
00735            3280.00     3360.00
00736            3360.00     3360.00
00737              80.00        0.00
00738              80.00       80.00
00739               0.00       80.00
00740            3280.00     3360.00
00741            3280.00     3360.00
00742            3280.00      560.00
00743               0.00        0.00
00744              80.00       80.00
00745               0.00     3440.00
00746            3280.00     3360.00
00747            3280.00     3360.00
00748            3360.00        0.00
00749              80.00        0.00
00750              80.00       80.00
00751               0.00     3360.00
00752            3360.00     3360.00
00753            3280.00     3360.00
00754             240.00      -80.00
00755              80.00        0.00
00756              80.00        0.00
00757            3280.00     3360.00
00758            3280.00     3360.00
00759            3280.00     3360.00
00760              80.00        0.00
00761              80.00       80.00
00762              80.00     3360.00
00763            3280.00     3360.00
00764            3280.00     3360.00
00765            3280.00       80.00
00766              80.00        0.00
00767              80.00       80.00
00768              80.00     3360.00
00769              80.00     3360.00
00770              80.00     3360.00
00771              80.00     3360.00
00772              80.00     3360.00
00773              80.00     3360.00
00774              80.00     3360.00
00775            3280.00     3360.00
00776            3360.00       80.00
00777              80.00       80.00
00778              80.00       80.00
00779               0.00     3280.00
00780            3280.00     3440.00
00781            3360.00     3360.00
00782            3360.00       80.00
00783              80.00       80.00
00784               0.00        0.00
00785              80.00     3360.00
00786            3280.00     3360.00
00787            3360.00     3440.00
00788              80.00       80.00
00789              80.00       80.00
00790              80.00       80.00
00791            3280.00     3360.00
00792            3360.00     3360.00
00793            3440.00     3440.00
00794              80.00        0.00
00795              80.00        0.00
00796               0.00     3360.00
00797            3360.00     3360.00
00798            3280.00     3440.00
00799            3360.00      160.00
00800               0.00       80.00
00801              80.00     3360.00
00802              80.00     3360.00
00803              80.00     3360.00
00804              80.00     3360.00
00805              80.00     3360.00
00806              80.00        0.00
00807              80.00     3440.00
00808            3360.00     3360.00
00809            3440.00     3440.00
00810              80.00       80.00
00811              80.00       80.00
00812              80.00       80.00
00813            3280.00     3360.00
00814            3280.00     3360.00
00815            3360.00     3360.00
00816              80.00       80.00
00817              80.00        0.00
00818              80.00     3360.00
00819            3280.00     3360.00
00820            3360.00     3440.00
00821            3440.00       80.00
00822              80.00       80.00
00823              80.00       80.00
00824              80.00     3440.00
00825            3280.00     3440.00
00826            3280.00     3360.00
00827            3360.00      160.00
00828              80.00       80.00
00829              80.00        0.00
00830            3280.00     3360.00
00831            3360.00     3360.00
00832            3360.00     3440.00
00833              80.00       80.00
00834              80.00       80.00
00835              80.00        0.00
